id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
189,"@deviyuliani9991","Pantesan mereka sejahtera dan kaya semua. . . KPK tolong cek mereka semua. . .siapa tau bnyk oknum yg bersarang dsana😅😅😅😅. Indonesia bnyk menjadi pemimpin untuk memperkaya diri mereka","UgzAoZehzAFOkZJOWBd4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzAoZehzAFOkZJOWBd4AaABAg","2024-04-30 03:04:04",0,"Pantesan mereka sejahtera dan kaya semua. . . KPK tolong cek mereka semua. . .siapa tau bnyk oknum yg bersarang dsana😅😅😅😅. Indonesia bnyk menjadi pemimpin untuk memperkaya diri mereka","http://www.youtube.com/@deviyuliani9991",
190,"@devyaja5420","Sapu bersih semua pejabat pajak,","UgxwqhLXcpC5L7wU1Ot4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxwqhLXcpC5L7wU1Ot4AaABAg","2024-04-30 03:03:18",0,"Sapu bersih semua pejabat pajak,","http://www.youtube.com/@devyaja5420",
191,"@KKong28","Beacukai sarang koruptor","UgyjNTxpEfgOdZFjKwx4AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyjNTxpEfgOdZFjKwx4AaABAg","2024-04-30 03:01:23",0,"Beacukai sarang koruptor","http://www.youtube.com/@KKong28",
192,"@anakukenzo5627","Ujung2 y korupsi","UgzsHToAkbGvFxXiRCZ4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzsHToAkbGvFxXiRCZ4AaABAg","2024-04-30 02:57:28",0,"Ujung2 y korupsi","http://www.youtube.com/@anakukenzo5627",
193,"@massrifki8675","Kena denda yg tidak pernah di lakukan","UgxnIocMVasXoGo2pDV4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxnIocMVasXoGo2pDV4AaABAg","2024-04-30 02:49:52",0,"Kena denda yg tidak pernah di lakukan","http://www.youtube.com/@massrifki8675",
194,"@apryasmaraandika","Harus viral dulu baru di respon 😪😪😪","Ugwk5o8ZYAVX-V1V5_N4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugwk5o8ZYAVX-V1V5_N4AaABAg","2024-04-30 02:49:20",0,"Harus viral dulu baru di respon 😪😪😪","http://www.youtube.com/@apryasmaraandika",
195,"@user-ki9kb1ku4g","KPK...monggo","UgytGFi6PB5zmHkUgqB4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgytGFi6PB5zmHkUgqB4AaABAg","2024-04-30 02:36:33",0,"KPK...monggo","http://www.youtube.com/@user-ki9kb1ku4g",
196,"@dwierlanggaerlangga4541","Ini sebabnya Indonesia tak bisa merdeka,,, secara nyata,","UgyuALmJol1N7ewPeaV4AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyuALmJol1N7ewPeaV4AaABAg","2024-04-30 02:34:31",0,"Ini sebabnya Indonesia tak bisa merdeka,,, secara nyata,","http://www.youtube.com/@dwierlanggaerlangga4541",
197,"@awang602","Segera benahi","UgyZ7OeZl52IYHB4O0N4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyZ7OeZl52IYHB4O0N4AaABAg","2024-04-30 02:16:41",0,"Segera benahi","http://www.youtube.com/@awang602",
198,"@akira-ov1qy","Bukan hal yg tidak mungkin ketua kpk dulu aj korupsi . Sejarah itu lho 😄 .","UgyjdLfYTjl5_ZO2laB4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyjdLfYTjl5_ZO2laB4AaABAg","2024-04-30 02:10:13",0,"Bukan hal yg tidak mungkin ketua kpk dulu aj korupsi . Sejarah itu lho 😄 .","http://www.youtube.com/@akira-ov1qy",
199,"@faihan4635","APA NUNGGU VIRAL BARU DI PROSES JANGAN ALASAN SOP PADAHAL KALIAN KORUPSI...!!","UgyojMiVMeo3fWrBp2t4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyojMiVMeo3fWrBp2t4AaABAg","2024-04-30 02:10:01",0,"APA NUNGGU VIRAL BARU DI PROSES JANGAN ALASAN SOP PADAHAL KALIAN KORUPSI...!!","http://www.youtube.com/@faihan4635",
200,"@irwansyahdedy3036","Yg jelas oknum pingin nyari keuntungan pribadi.klau dibayarpun uangnya egk masuk kenegara.tapi masuk kekantong pribadi.","Ugwclepqw-wIk1uKV814AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugwclepqw-wIk1uKV814AaABAg","2024-04-30 02:07:15",0,"Yg jelas oknum pingin nyari keuntungan pribadi.klau dibayarpun uangnya egk masuk kenegara.tapi masuk kekantong pribadi.","http://www.youtube.com/@irwansyahdedy3036",
201,"@andreasirawan1906","Negara oknum","UgwheVH4GkqeMlxCzw14AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwheVH4GkqeMlxCzw14AaABAg","2024-04-30 02:06:44",0,"Negara oknum","http://www.youtube.com/@andreasirawan1906",
202,"@zeroalta24","Meminta uang dengan alasan kebijakan, masih banyak ya...","UgzaikGM82WPRXKJPh54AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzaikGM82WPRXKJPh54AaABAg","2024-04-30 02:03:25",0,"Meminta uang dengan alasan kebijakan, masih banyak ya...","http://www.youtube.com/@zeroalta24",
203,"@kp7152","Seharus nya indonesia lihat contoh malaysia mengenai bea cukai. Saya pernah bawa jga barang mainan hotwheels da itu saya bawa dari indonesia ke malaysia barang tu saya bawa ke sana memang banyak tapi hanya untuk koleksi dan d simpan rumah saya d malaysia. Ad 4 box hotwheels dan saya cuma kena RM 30 saja dan klo d rupiah kan kena 100 rb kan. Dan mereka jelaskan dan tidak menyusahkan saya d sna. Tidak seperti di indonesia apa2 klo bisa di uang kan dan kena pajak bea cukai klo bisa selangit","UgzjSTn0lVfzhLjWo014AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzjSTn0lVfzhLjWo014AaABAg","2024-04-30 02:03:25",0,"Seharus nya indonesia lihat contoh malaysia mengenai bea cukai. Saya pernah bawa jga barang mainan hotwheels da itu saya bawa dari indonesia ke malaysia barang tu saya bawa ke sana memang banyak tapi hanya untuk koleksi dan d simpan rumah saya d malaysia. Ad 4 box hotwheels dan saya cuma kena RM 30 saja dan klo d rupiah kan kena 100 rb kan. Dan mereka jelaskan dan tidak menyusahkan saya d sna. Tidak seperti di indonesia apa2 klo bisa di uang kan dan kena pajak bea cukai klo bisa selangit","http://www.youtube.com/@kp7152",
204,"@SahabatHolistik","Rampok cukaiii , asemm","UgwRFiT7Tcqid1Bd8tp4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwRFiT7Tcqid1Bd8tp4AaABAg","2024-04-30 01:54:25",0,"Rampok cukaiii , asemm","http://www.youtube.com/@SahabatHolistik",
205,"@ILoveYou-uj3vs","Pantesan yg kerja di sana pada betah, lah harga barang sekitar 14 juta, eehh di suruh tebus 27 juta.","Ugx1FZYMaET8rnEgRMZ4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugx1FZYMaET8rnEgRMZ4AaABAg","2024-04-30 01:45:40",0,"Pantesan yg kerja di sana pada betah, lah harga barang sekitar 14 juta, eehh di suruh tebus 27 juta.","http://www.youtube.com/@ILoveYou-uj3vs",
